,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-07-06,603.574659455398,483.6195874895975,702.9552292718148,603.574659455398,603.574659455398,-8.939251645298974,-8.939251645298974,-8.939251645298974,-8.939251645298974,-8.939251645298974,-8.939251645298974,0.0,0.0,0.0,594.635407810099
1,2021-07-07,606.6896184343422,478.4859667304835,711.1004040345566,606.6896184343422,606.6896184343422,-6.863497168399733,-6.863497168399733,-6.863497168399733,-6.863497168399733,-6.863497168399733,-6.863497168399733,0.0,0.0,0.0,599.8261212659424
2,2021-07-08,609.8045774132863,488.47672738192983,705.702963441575,609.8045774132863,609.8045774132863,-15.316795300335409,-15.316795300335409,-15.316795300335409,-15.316795300335409,-15.316795300335409,-15.316795300335409,0.0,0.0,0.0,594.4877821129509
3,2021-07-09,612.9195363922305,474.9913342423412,699.6481287093926,612.9195363922305,612.9195363922305,-19.723812365582205,-19.723812365582205,-19.723812365582205,-19.723812365582205,-19.723812365582205,-19.723812365582205,0.0,0.0,0.0,593.1957240266483
4,2021-07-12,622.2644133290631,505.2503566312693,726.4954717070294,622.2644133290631,622.2644133290631,-3.647595290432601,-3.647595290432601,-3.647595290432601,-3.647595290432601,-3.647595290432601,-3.647595290432601,0.0,0.0,0.0,618.6168180386305
5,2021-07-13,625.3793723080073,502.39460863310256,717.8520324107221,625.3793723080073,625.3793723080073,-8.939251645284898,-8.939251645284898,-8.939251645284898,-8.939251645284898,-8.939251645284898,-8.939251645284898,0.0,0.0,0.0,616.4401206627224
6,2021-07-14,628.4943312869515,504.90821631648123,731.967534692568,628.4943312869515,628.4943312869515,-6.863497168388089,-6.863497168388089,-6.863497168388089,-6.863497168388089,-6.863497168388089,-6.863497168388089,0.0,0.0,0.0,621.6308341185634
7,2021-07-15,631.6092902658957,513.4415140782938,725.5004814726618,631.6092902658957,631.6092902658957,-15.316795300261763,-15.316795300261763,-15.316795300261763,-15.316795300261763,-15.316795300261763,-15.316795300261763,0.0,0.0,0.0,616.2924949656339
8,2021-07-16,634.7242492448398,503.1607163475517,719.7114056049116,634.7242492448398,634.7242492448398,-19.723812365552938,-19.723812365552938,-19.723812365552938,-19.723812365552938,-19.723812365552938,-19.723812365552938,0.0,0.0,0.0,615.0004368792869
9,2021-07-19,644.0691262847552,536.5641615830937,750.1157126908128,644.0691262847552,644.0691262847552,-3.647595290348391,-3.647595290348391,-3.647595290348391,-3.647595290348391,-3.647595290348391,-3.647595290348391,0.0,0.0,0.0,640.4215309944068
10,2021-07-20,647.1840852980605,525.3365121068834,749.799864547091,647.1840852980605,647.1840852980605,-8.939251645299738,-8.939251645299738,-8.939251645299738,-8.939251645299738,-8.939251645299738,-8.939251645299738,0.0,0.0,0.0,638.2448336527608
11,2021-07-21,650.2990443113655,527.3268908375887,757.9513672473748,650.2990443113655,650.2990443113655,-6.863497168396339,-6.863497168396339,-6.863497168396339,-6.863497168396339,-6.863497168396339,-6.863497168396339,0.0,0.0,0.0,643.4355471429692
12,2021-07-22,653.4140033246707,518.4876257162747,751.4722518518353,653.4140033246707,653.4140033246707,-15.31679530027247,-15.31679530027247,-15.31679530027247,-15.31679530027247,-15.31679530027247,-15.31679530027247,0.0,0.0,0.0,638.0972080243982
13,2021-07-23,656.5289623379758,529.2821930782712,755.1289342667224,656.5289623379758,656.5289623379758,-19.723812365536322,-19.723812365536322,-19.723812365536322,-19.723812365536322,-19.723812365536322,-19.723812365536322,0.0,0.0,0.0,636.8051499724395
14,2021-07-26,665.8738393778913,559.2967292292059,778.9301211167985,665.8738393778913,665.8738393778913,-3.6475952903758957,-3.6475952903758957,-3.6475952903758957,-3.6475952903758957,-3.6475952903758957,-3.6475952903758957,0.0,0.0,0.0,662.2262440875154
15,2021-07-27,668.9887983911964,551.9674824009779,780.2505624870828,668.9887983911964,668.9887983911964,-8.939251645256736,-8.939251645256736,-8.939251645256736,-8.939251645256736,-8.939251645256736,-8.939251645256736,0.0,0.0,0.0,660.0495467459397
16,2021-07-28,672.1037574045016,554.2897562141395,771.3349639959271,672.1037574045016,672.1037574045016,-6.863497168384215,-6.863497168384215,-6.863497168384215,-6.863497168384215,-6.863497168384215,-6.863497168384215,0.0,0.0,0.0,665.2402602361174
17,2021-07-29,675.2187166610078,542.7160294165603,770.5275987960704,675.2187166610078,675.2187166610078,-15.316795300290979,-15.316795300290979,-15.316795300290979,-15.316795300290979,-15.316795300290979,-15.316795300290979,0.0,0.0,0.0,659.9019213607168
